date,weekday,bar_a_s_o,bar_a_s_h,bar_a_s_l,bar_a_s_c,bar_b_s_o,bar_b_s_h,bar_b_s_l,bar_b_s_c,bar_ratio_s_o,bar_ratio_s_h,bar_ratio_s_l,bar_ratio_s_c,bar_a_l_o,bar_a_l_h,bar_a_l_l,bar_a_l_c,bar_b_l_o,bar_b_l_h,bar_b_l_l,bar_b_l_c,bar_ratio_l_o,bar_ratio_l_h,bar_ratio_l_l,bar_ratio_l_c,swing_s_low,swing_s_high,swing_l_low,swing_l_high
2008-01-02,2,52.354,52.4982,51.4562,51.7158,83.56,85.14,83.44,84.86,0.6265,0.6265,0.6094,0.6094,,,,,,,,,,,,,,,,
2008-01-03,3,51.741,51.9574,51.4526,51.6545,84.87,85.94,84.6,85.57,0.6097,0.6097,0.6037,0.6037,,,,,,,,,,,,,,,,
2008-01-04,4,51.0776,51.2002,50.2627,50.2735,85.34,85.55,84.43,85.13,0.5985,0.5985,0.5906,0.5906,,,,,,,,,,,,,,,,
2008-01-07,0,50.5007,50.681,49.8877,50.2988,85.24,85.26,84.57,84.77,0.5925,0.5944,0.5899,0.5934,50.5007,50.9045,48.8926,49.7759,85.24,88.76,84.57,88.58,0.5925,0.5944,0.5619,0.5619,,,,
2008-01-08,1,50.5476,50.9045,49.3,49.3974,86.28,87.13,86.16,86.78,0.5859,0.5859,0.5692,0.5692,50.5007,50.9045,48.8926,49.7759,85.24,88.76,84.57,88.58,0.5925,0.5944,0.5619,0.5619,,,,
2008-01-09,2,49.5344,50.0283,48.8926,49.9202,86.56,87.2,86.3,86.5499,0.5723,0.5768,0.5665,0.5768,50.5007,50.9045,48.8926,49.7759,85.24,88.76,84.57,88.58,0.5925,0.5944,0.5619,0.5619,,,,
2008-01-10,3,49.657,50.7495,49.4947,50.2483,86.42,88.46,86.41,88.25,0.5746,0.5746,0.5694,0.5694,50.5007,50.9045,48.8926,49.7759,85.24,88.76,84.57,88.58,0.5925,0.5944,0.5619,0.5619,,,,
2008-01-11,4,50.0716,50.2988,49.5236,49.7759,88.04,88.76,87.85,88.58,0.5687,0.5687,0.5619,0.5619,50.5007,50.9045,48.8926,49.7759,85.24,88.76,84.57,88.58,0.5925,0.5944,0.5619,0.5619,,,,
2008-01-14,0,50.0319,50.3024,49.8499,50.2555,89.45,89.94,89.0,89.5399,0.5593,0.5613,0.5593,0.5613,50.0319,50.3024,46.6138,47.0789,89.45,90.35,86.32,87.42,0.5593,0.5622,0.5385,0.5385,,,,
2008-01-15,1,49.6642,49.7399,49.0115,49.0368,89.6,90.35,87.91,87.99,0.5543,0.5575,0.5505,0.5573,50.0319,50.3024,46.6138,47.0789,89.45,90.35,86.32,87.42,0.5593,0.5622,0.5385,0.5385,,,,
2008-01-16,2,48.7592,49.455,48.395,48.7411,88.17,88.66,86.32,86.7,0.553,0.5622,0.553,0.5622,50.0319,50.3024,46.6138,47.0789,89.45,90.35,86.32,87.42,0.5593,0.5622,0.5385,0.5385,,,,
2008-01-17,3,48.8529,48.9611,47.2917,47.3998,87.5,87.98,86.47,86.5001,0.5583,0.5583,0.5469,0.548,50.0319,50.3024,46.6138,47.0789,89.45,90.35,86.32,87.42,0.5593,0.5622,0.5385,0.5385,,,,
2008-01-18,4,47.6126,48.0092,46.6138,47.0789,87.165,87.46,86.51,87.42,0.5462,0.5489,0.5385,0.5385,50.0319,50.3024,46.6138,47.0789,89.45,90.35,86.32,87.42,0.5593,0.5622,0.5385,0.5385,,,,
