time,open,high,low,close,Volume
11/18/04,44.42999,44.49001,44.07001,44.38,5992000
11/19/04,44.49001,44.92,44.47,44.78,11655301
11/22/04,44.75,44.97,44.74001,44.95,11996000
11/23/04,44.88,44.92,44.72,44.75,3169200
11/24/04,44.92999,45.05,44.78999,45.05,6105102
11/26/04,45.25,45.60001,45.06,45.28999,3097700
11/29/04,45.10001,45.5,45.08,45.39999,3759000
11/30/04,45.37,45.41,44.82001,45.12,3859100
12/1/04,45.28,45.59,45.25999,45.38,2037500
12/2/04,45.55,45.57001,44.67999,44.95,6457801
12/3/04,45.03999,46,44.8,45.60001,4218301
12/6/04,45.39,45.47,45.11,45.17,3103000
12/7/04,45.3,45.32001,45.07001,45.11,3809400
12/8/04,43.8,44.02,43.36,44.00999,6150500
12/9/04,43.75,43.89999,43.2,43.78,3553400
12/10/04,43.37,43.60001,43.31,43.44,2464300
12/13/04,43.61,44.01401,43.50999,43.91,1445100
12/14/04,43.75999,43.8,43.50999,43.55,2240600
12/15/04,44.10001,44.17,43.92,43.99001,2641400
12/16/04,43.99001,44.05,43.58,43.67999,3269800
12/17/04,43.92999,44.22,43.78,44.19,1889300
12/20/04,44.33,44.37,44.13,44.34,1942100
12/21/04,44.13,44.24001,44.05,44.22,1373400
12/22/04,44.2,44.23,43.89,44.02,2706800
12/23/04,44.17,44.35001,44.05,44.27,639800
12/27/04,44.28999,44.56,44.27,44.48,2643700
12/28/04,44.42,44.47,44.28999,44.37,773200
12/29/04,43.92,44.02,43.35001,43.66,5633500
12/30/04,43.5,43.88,43.49001,43.83,1289700
12/31/04,43.85001,43.94,43.73,43.8,531600
1/3/05,42.98,43.17,42.74001,43.02,4750500
1/4/05,42.8,42.91,42.46001,42.74001,3456800
1/5/05,42.75,42.88,42.60001,42.67,2108700
1/6/05,42.48,42.56,42.07001,42.14999,2556400
1/7/05,42.09,42.39,41.7,41.84,4492699
1/10/05,41.99001,42.07001,41.89,41.95,1026100
1/11/05,42.21001,42.28,42.12,42.21001,1507300
1/12/05,42.52,42.78999,42.48,42.60001,1738000
1/13/05,42.39,42.60001,42.34,42.60001,718300
1/14/05,42.19,42.32001,42.13,42.32001,1262300
1/18/05,42.22,42.38,42.14999,42.32001,666800
1/19/05,42.64999,42.64999,42.2,42.25999,1578900
1/20/05,42.12,42.32001,42.11,42.25,1276200
1/21/05,42.32001,42.82001,42.28999,42.74001,889800
1/24/05,42.74001,42.82001,42.67,42.77,2294900
1/25/05,42.53,42.56,42.10001,42.24001,1332500
1/26/05,42.59,42.78,42.56,42.69,541800
1/27/05,42.48,42.64999,42.39999,42.62,571200
1/28/05,42.71001,42.73,42.42999,42.69,1149100
1/31/05,42.21001,42.3,41.96001,42.22,1692400
2/1/05,42.09,42.14,41.95,42.10001,1088900
2/2/05,42.22,42.23,42.02,42.16,956500
2/3/05,41.56,41.74001,41.5,41.67999,2446400
2/4/05,41.59,41.64999,41.39,41.47,1819400
2/7/05,41.55,41.55,41.21001,41.27,1754000
2/8/05,41.19,41.39999,41.05,41.25999,1296800
2/9/05,41.03,41.36,41.02,41.31,3477900
2/10/05,41.53,41.84,41.45,41.75,7774500
2/11/05,41.89,42.16,41.83,42.08,1896500
2/14/05,42.37,42.63,42.32001,42.55,2351800
2/15/05,42.39999,42.60001,42.34,42.58,1559900
2/16/05,42.32001,42.60001,42.2,42.52,1820300
2/17/05,42.52,42.81,42.50999,42.73,3054200
2/18/05,42.71001,42.82001,42.64,42.75,863200
2/22/05,43.39,43.63,43.2,43.57001,3378500
2/23/05,43.28999,43.55,43.14999,43.42,1534900
2/24/05,43.48,43.48,43.2,43.33,1219300
2/25/05,43.41,43.55,43.22,43.5,1100100
2/28/05,43.67999,43.74001,43.52,43.52,759100
3/1/05,43.3,43.37,43.10001,43.22,3245500
3/2/05,43.16,43.35001,43.08,43.25,1188000
3/3/05,43.06,43.13,42.89999,42.97,1924600
3/4/05,43.33,43.52,43.31,43.38,915000
3/7/05,43.32001,43.50999,43.25999,43.47,1290100
3/8/05,43.71001,44.08,43.59,44.03,2674900
3/9/05,43.95,44.2,43.92,44.02,3025000
3/10/05,44.16,44.25,44,44.2,2065000
3/11/05,44.31,44.67,44.28,44.42999,2659600
3/14/05,44.25999,44.25999,43.95,44.03,867100
3/15/05,44.23,44.23,43.92999,44.06,1254900
3/16/05,44.28999,44.35001,44.2,44.31,2223300
3/17/05,43.97,43.97,43.674,43.82001,1525200
3/18/05,43.61,43.95,43.60001,43.892,1207500
3/21/05,43.24001,43.25,42.87,43.09,3814400
3/22/05,43.21001,43.22,42.55,42.64999,2609400
3/23/05,42.60001,42.67,42.35001,42.42,2618600
3/24/05,42.50999,42.53999,42.37,42.39,1466300
3/28/05,42.45,42.58,42.41,42.53999,581100
3/29/05,42.61,42.63,42.53999,42.56,1197800
3/30/05,42.64999,42.81,42.56,42.61,1324300
3/31/05,42.87,42.87,42.7,42.82001,1363200
4/1/05,42.60001,42.62,42.45,42.62,2448500
4/4/05,42.42999,42.42999,42.23,42.39999,1893100
4/5/05,42.49001,42.53999,42.38,42.45,888000
4/6/05,42.49001,42.72,42.49001,42.63,1637500
4/7/05,42.77,42.81,42.53,42.57001,2853000
4/8/05,42.48,42.71001,42.459,42.69,1002300
4/11/05,42.84,42.96001,42.74001,42.78,514100
4/12/05,42.7,42.84,42.61,42.84,2098700
4/13/05,42.75999,42.95,42.67999,42.89999,384000
4/14/05,42.45,42.48,42.16,42.31,3680300
4/15/05,42.38,42.56,42.36,42.39999,1811100
4/18/05,42.55,42.78,42.52,42.69,909800
4/19/05,42.78999,43.36,42.72,43.28,3145400
4/20/05,43.21001,43.52,43.19,43.39999,1248200
4/21/05,43.42,43.42999,43.14,43.19,1550600
4/22/05,43.46001,43.5,43.306,43.39,1169000
4/25/05,43.35001,43.45,43.22,43.44,906300
4/26/05,43.69,43.7,43.5,43.64,1531400
4/27/05,43.53,43.53999,43.12,43.2,2762800
4/28/05,43.16,43.27,42.99001,43,2260300
4/29/05,43.17999,43.61,43.17999,43.35001,3736700
5/2/05,43.13,43.17,42.81,42.88,1708600
5/3/05,42.75,42.8,42.58,42.75999,1268700
5/4/05,42.87,42.92,42.73,42.89999,607600
5/5/05,42.96001,42.96001,42.71001,42.91,319300
5/6/05,42.42999,42.63,42.34,42.52,3722700
5/9/05,42.53999,42.61,42.48,42.55,600000
5/10/05,42.71001,42.78999,42.58,42.64,461000
5/11/05,42.55,42.83,42.50999,42.69,764600
5/12/05,42.42,42.48,41.97,42.16,1880200
5/13/05,42.12,42.12,41.83,41.95,802600
5/16/05,41.77,41.89999,41.77,41.88,874500
5/17/05,41.95,42.05,41.83,41.86,880800
5/18/05,41.99001,42.11,41.83,42.05,2207100
5/19/05,42,42.05,41.87,41.98,610200
5/20/05,41.75999,41.83,41.61,41.64999,932800
5/23/05,41.69,41.75,41.55,41.62,5001898
5/24/05,41.83,41.83,41.64999,41.73,1684600
5/25/05,41.78,41.89999,41.69,41.87,1535100
5/26/05,41.73,41.81,41.64999,41.69,341500
5/27/05,41.81,41.96001,41.74001,41.88,2453600
5/31/05,41.45,41.69,41.33,41.64999,3198900
6/1/05,41.41,41.64999,41.39999,41.53,1792900
6/2/05,41.94,42.28,41.91,42.10001,5752602
6/3/05,42.33,42.39,42.17,42.17,3350700
6/6/05,42.56,42.64999,42.45,42.48,2470800
6/7/05,42.48,42.48,42.31,42.38,611000
6/8/05,42.45,42.56,42.24001,42.34,691500
6/9/05,42.24001,42.39999,42.03,42.27,694700
6/10/05,42.25,42.72,42.12,42.62,1678000
6/13/05,42.81,43.00999,42.7,42.78,2331600
6/14/05,42.66,42.7,42.58,42.60001,825500
6/15/05,42.69,42.89,42.67,42.74001,2311400
6/16/05,43.3,43.55,43.17,43.46001,1809200
6/17/05,43.78,43.85001,43.61,43.63,1816500
6/20/05,43.94,43.94,43.66,43.66,1433700
6/21/05,43.58,43.82001,43.42,43.81,672600
6/22/05,43.66,43.75999,43.53,43.72,1258500
6/23/05,43.84,44.13,43.78,44.02,1576600
6/24/05,43.96001,44.06,43.67999,43.89999,473500
6/27/05,43.89999,43.92999,43.73,43.91,1016500
6/28/05,43.64,43.64,43.37,43.45,1295600
6/29/05,43.49001,43.7,43.46001,43.63,1199800
6/30/05,43.63,43.77,43.36,43.44,1087500
7/1/05,43.39999,43.39999,42.59,42.7,1755300
7/5/05,42.33,42.34,42.06,42.28,2582700
7/6/05,42.36,42.38,42.24001,42.25,1254600
7/7/05,42.47,42.56,42.05,42.36,4345199
7/8/05,42.32001,42.39999,42.12,42.25999,824300
7/11/05,42.33,42.57001,42.28,42.53999,2252900
7/12/05,42.61,42.64,42.39999,42.64,1274200
7/13/05,42.35001,42.38,42.25,42.35001,981300
7/14/05,42.33,42.36,41.8,41.89999,1642600
7/15/05,41.75999,42.07001,41.7,42.05,1104800
7/18/05,41.96001,42.17,41.94,42.00999,956400
7/19/05,41.88,42,41.81,41.89,1132600
7/20/05,42.16,42.25,42.05,42.2,2266800
7/21/05,42.42999,42.50999,42.33,42.46001,1777300
7/22/05,42.45,42.48,42.34,42.45,633300
7/25/05,42.46001,42.56,42.42999,42.50999,2122100
7/26/05,42.28,42.37,42.14,42.25,637000
7/27/05,42.3,42.5,42.3,42.44,1560600
7/28/05,42.46001,42.78999,42.46001,42.75,3673300
7/29/05,42.83,42.96001,42.78999,42.82001,1185100
8/1/05,43.08,43.17,42.99001,43.13,1493900
8/2/05,43.07001,43.14999,42.99001,43.14,699600
8/3/05,43.38,43.62,43.35001,43.53,1545900
8/4/05,43.67999,43.82001,43.63,43.67999,867600
8/5/05,43.71001,43.75,43.56,43.60001,1100800
8/8/05,43.52,43.55,43.27,43.35001,1108500
8/9/05,43.27,43.35001,43.166,43.34,1305800
8/10/05,43.5,43.66,43.45,43.64999,695500
8/11/05,43.89999,44.62,43.86,44.45,2187100
8/12/05,44.49001,44.72,44.42999,44.49001,2428500
8/15/05,44.19,44.27,43.98,44.13,1524500
8/16/05,44.06,44.57001,44.05,44.55,1883000
8/17/05,44.25999,44.3,43.72,43.91,1990300
8/18/05,43.94,44.14,43.82001,43.83,1093500
8/19/05,43.77,43.88,43.49001,43.60001,811800
8/22/05,43.84,43.95,43.66,43.7,877200
8/23/05,43.84,43.89999,43.71001,43.75999,607700
8/24/05,43.94,43.96001,43.41,43.59,894300
8/25/05,43.75999,43.81,43.60001,43.73,1652600
8/26/05,43.78,43.89999,43.50999,43.61,1301700
